,con300000_bat0.0_pv0.0,con600000_bat0.0_pv0.0,con1000000_bat0.0_pv0.0,con2000000_bat0.0_pv0.0,con3000000_bat0.0_pv0.0,con5000000_bat0.0_pv0.0,con300000_bat0.0001_pv0.0,con600000_bat0.0001_pv0.0,con1000000_bat0.0001_pv0.0,con2000000_bat0.0001_pv0.0,con3000000_bat0.0001_pv0.0,con5000000_bat0.0001_pv0.0,con300000_bat0.0003_pv0.0,con600000_bat0.0003_pv0.0,con1000000_bat0.0003_pv0.0,con2000000_bat0.0003_pv0.0,con3000000_bat0.0003_pv0.0,con5000000_bat0.0003_pv0.0,con300000_bat0.0005_pv0.0,con600000_bat0.0005_pv0.0,con1000000_bat0.0005_pv0.0,con2000000_bat0.0005_pv0.0,con3000000_bat0.0005_pv0.0,con5000000_bat0.0005_pv0.0,con300000_bat0.0007_pv0.0,con600000_bat0.0007_pv0.0,con1000000_bat0.0007_pv0.0,con2000000_bat0.0007_pv0.0,con3000000_bat0.0007_pv0.0,con5000000_bat0.0007_pv0.0,con300000_bat0.0_pv0.15,con600000_bat0.0_pv0.15,con1000000_bat0.0_pv0.15,con2000000_bat0.0_pv0.15,con3000000_bat0.0_pv0.15,con5000000_bat0.0_pv0.15,con300000_bat0.0001_pv0.15,con600000_bat0.0001_pv0.15,con1000000_bat0.0001_pv0.15,con2000000_bat0.0001_pv0.15,con3000000_bat0.0001_pv0.15,con5000000_bat0.0001_pv0.15,con300000_bat0.0003_pv0.15,con600000_bat0.0003_pv0.15,con1000000_bat0.0003_pv0.15,con2000000_bat0.0003_pv0.15,con3000000_bat0.0003_pv0.15,con5000000_bat0.0003_pv0.15,con300000_bat0.0005_pv0.15,con600000_bat0.0005_pv0.15,con1000000_bat0.0005_pv0.15,con2000000_bat0.0005_pv0.15,con3000000_bat0.0005_pv0.15,con5000000_bat0.0005_pv0.15,con300000_bat0.0007_pv0.15,con600000_bat0.0007_pv0.15,con1000000_bat0.0007_pv0.15,con2000000_bat0.0007_pv0.15,con3000000_bat0.0007_pv0.15,con5000000_bat0.0007_pv0.15,con300000_bat0.0_pv0.3,con600000_bat0.0_pv0.3,con1000000_bat0.0_pv0.3,con2000000_bat0.0_pv0.3,con3000000_bat0.0_pv0.3,con5000000_bat0.0_pv0.3,con300000_bat0.0001_pv0.3,con600000_bat0.0001_pv0.3,con1000000_bat0.0001_pv0.3,con2000000_bat0.0001_pv0.3,con3000000_bat0.0001_pv0.3,con5000000_bat0.0001_pv0.3,con300000_bat0.0003_pv0.3,con600000_bat0.0003_pv0.3,con1000000_bat0.0003_pv0.3,con2000000_bat0.0003_pv0.3,con3000000_bat0.0003_pv0.3,con5000000_bat0.0003_pv0.3,con300000_bat0.0005_pv0.3,con600000_bat0.0005_pv0.3,con1000000_bat0.0005_pv0.3,con2000000_bat0.0005_pv0.3,con3000000_bat0.0005_pv0.3,con5000000_bat0.0005_pv0.3,con300000_bat0.0007_pv0.3,con600000_bat0.0007_pv0.3,con1000000_bat0.0007_pv0.3,con2000000_bat0.0007_pv0.3,con3000000_bat0.0007_pv0.3,con5000000_bat0.0007_pv0.3
consumption_kwh,300000,600000,1000000,2000000,3000000,5000000,300000,600000,1000000,2000000,3000000,5000000,300000,600000,1000000,2000000,3000000,5000000,300000,600000,1000000,2000000,3000000,5000000,300000,600000,1000000,2000000,3000000,5000000,300000,600000,1000000,2000000,3000000,5000000,300000,600000,1000000,2000000,3000000,5000000,300000,600000,1000000,2000000,3000000,5000000,300000,600000,1000000,2000000,3000000,5000000,300000,600000,1000000,2000000,3000000,5000000,300000,600000,1000000,2000000,3000000,5000000,300000,600000,1000000,2000000,3000000,5000000,300000,600000,1000000,2000000,3000000,5000000,300000,600000,1000000,2000000,3000000,5000000,300000,600000,1000000,2000000,3000000,5000000
battery_proportion,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
pv_proportion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
list_battery_max_state,[0],[0],[0],[0],[0],[0],[30],[60],[100],[200],[300],[500],[90],[180],[300],[601],[901],[1502],[150],[300],[500],[1001],[1502],[2504],[210],[420],[701],[1402],[2103],[3506],[0],[0],[0],[0],[0],[0],[30],[60],[100],[200],[300],[500],[90],[180],[300],[601],[901],[1502],[150],[300],[500],[1001],[1502],[2504],[210],[420],[701],[1402],[2103],[3506],[0],[0],[0],[0],[0],[0],[30],[60],[100],[200],[300],[500],[90],[180],[300],[601],[901],[1502],[150],[300],[500],[1001],[1502],[2504],[210],[420],[701],[1402],[2103],[3506]
list_battery_usability,[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9],[0.9]
list_battery_usable_max_state,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[27.0],[54.0],[90.0],[180.0],[270.0],[450.0],[81.0],[162.0],[270.0],[540.9],[810.9],[1351.8],[135.0],[270.0],[450.0],[900.9],[1351.8],[2253.6],[189.0],[378.0],[630.9],[1261.8],[1892.7],[3155.4],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[27.0],[54.0],[90.0],[180.0],[270.0],[450.0],[81.0],[162.0],[270.0],[540.9],[810.9],[1351.8],[135.0],[270.0],[450.0],[900.9],[1351.8],[2253.6],[189.0],[378.0],[630.9],[1261.8],[1892.7],[3155.4],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[27.0],[54.0],[90.0],[180.0],[270.0],[450.0],[81.0],[162.0],[270.0],[540.9],[810.9],[1351.8],[135.0],[270.0],[450.0],[900.9],[1351.8],[2253.6],[189.0],[378.0],[630.9],[1261.8],[1892.7],[3155.4]
list_battery_efficiency,[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98],[0.98]
list_battery_num_annual_cycles,[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500],[500]
list_battery_proportion_hourly_max_load,[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5],[0.5]
list_battery_max_positive_load,[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000]
